catalog_item_id	display_name	object_type	source_repo	source_ref	source_path	skill_md_url	expected_skill_md_sha256	codex_install_name	codex_install_source	source_verification	dependency_scan	local_install_command_declared	strict_t1_eligibility	install_smoke_status	invoke_smoke_status	uninstall_smoke_status	review_status
ITEM-022	indication-dossier	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/indication-dossier	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/indication-dossier/SKILL.md	dfad982f985e7db5a406420b108713c0b8ce39903e304a3f968d11271c9e64ec	indication-dossier	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/indication-dossier	sha256_pass	mcp_or_api_key	no	blocked_external_dependency	not_run	not_run	not_run	installable_but_not_strict_t1
ITEM-023	alphafold2	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/alphafold2	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/alphafold2/SKILL.md	562520a36043c09f6e740b28a097e1e11a68b73bcc3c4c7cb0e269a644b4427a	alphafold2	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/alphafold2	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-024	boltz	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/boltz	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/boltz/SKILL.md	4205a08363955f762f45a2065263de0dabedd898eba13460830b70b621b26700	boltz	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/boltz	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-025	chai1	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/chai1	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/chai1/SKILL.md	14c7b111475cfb2df0c1ba4de8427b09099439417101bc443fe52e8c80eff539	chai1	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/chai1	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-026	openfold3	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/openfold3	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/openfold3/SKILL.md	eef2b03a2c7e1c4b94cd29bb27f3e02499a77be5c414a494f3d78e9c7cc443de	openfold3	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/openfold3	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-027	esmfold2	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/esmfold2	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/esmfold2/SKILL.md	28e625bab51a5d33e278b5ee6f304d76afa35c424fd919e1914d649df7600175	esmfold2	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/esmfold2	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-028	diffdock	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/diffdock	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/diffdock/SKILL.md	6c3acc1710209b8daf2322e6103043c3487412153e2455deab6abd851ad8efb6	diffdock	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/diffdock	sha256_pass	no_explicit_mcp_or_key	no	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-029	proteinmpnn	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/proteinmpnn	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/proteinmpnn/SKILL.md	9873f4f800d457a6b6a7139df133e8b4b259694c9433e188ca551929373f47b8	proteinmpnn	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/proteinmpnn	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-030	ligandmpnn	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/ligandmpnn	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/ligandmpnn/SKILL.md	004f25fe7caab394424fb7e2660b9428ad7079d0b9ff1d573079ab6340938396	ligandmpnn	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/ligandmpnn	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
ITEM-031	solublempnn	Agent技能包	JimLiu/science-skills	fb309c32ee9a54dad169fa845638057d1cfac77f	skills/solublempnn	https://github.com/JimLiu/science-skills/blob/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/solublempnn/SKILL.md	c5c9b5cba2668bfafc54e899e5165a68e07a1425ab25667cab8c86807d3f6e0c	solublempnn	https://github.com/JimLiu/science-skills/tree/fb309c32ee9a54dad169fa845638057d1cfac77f/skills/solublempnn	sha256_pass	no_explicit_mcp_or_key	yes	candidate_pending_runtime_smoke	not_run	not_run	not_run	eligible_t1_codex
